"Series Description","Assets: Other: Gold certificate account: Wednesday level","Assets: Other: Gold certificate account: change in Wednesday level from previous Wednesday level","Assets: Other: Gold certificate account: change in Wednesday level from year ago level","Assets: Other: Special drawing rights certificate account: Wednesday level","Assets: Other: Special drawing rights certificate account: change in Wednesday level from previous Wednesday level","Assets: Other: Special drawing rights certificate account: change in Wednesday level from year ago level","Assets: Other: Coin: Wednesday level","Assets: Other: Coin: change in Wednesday level from previous Wednesday level","Assets: Other: Coin: change in Wednesday level from year ago level","Assets: Other: Securities, premiums, discounts, repurchase agreements, and loans: Wednesday level","Assets: Other: Securities, premiums, discounts, repurchase agreements, and loans: change in Wednesday level from previous Wednesday level","Assets: Other: Securities, premiums, discounts, repurchase agreements, and loans: change in Wednesday level from year ago level","Assets: Securities Held Outright: Securities held outright: Wednesday level","Assets: Securities Held Outright: Securities held outright: change in Wednesday level from previous Wednesday level","Assets: Securities Held Outright: Securities held outright: change in Wednesday level from year ago level","Assets: Securities Held Outright: U.S. Treasury securities: Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: change in Wednesday level from previous Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: change in Wednesday level from year ago level","Assets: Securities Held Outright: U.S. Treasury securities: Bills: Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: Bills: change in Wednesday level from previous Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: Bills: change in Wednesday level from year ago level","Assets: Securities Held Outright: U.S. Treasury securities: Notes and bonds, nominal: Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: Notes and bonds, nominal: change in Wednesday level from previous Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: Notes and bonds, nominal: change in Wednesday level from year ago level","Assets: Securities Held Outright: U.S. Treasury securities: Notes and bonds, inflation-indexed: Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: Notes and bonds, inflation-indexed: change in Wednesday level from previous Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: Notes and bonds, inflation-indexed: change in Wednesday level from year ago level","Assets: Securities Held Outright: U.S. Treasury securities: Inflation compensation: Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: Inflation compensation: change in Wednesday level from previous Wednesday level","Assets: Securities Held Outright: U.S. Treasury securities: Inflation compensation: change in Wednesday level from year ago level","Assets: Securities Held Outright: Federal agency debt securities: Wednesday level","Assets: Securities Held Outright: Federal agency debt securities: change in Wednesday level from previous Wednesday level","Assets: Securities Held Outright: Federal agency debt securities: change in Wednesday level from year ago level","Assets: Securities Held Outright: Mortgage-backed securities: Wednesday level","Assets: Securities Held Outright: Mortgage-backed securities: change in Wednesday level from previous Wednesday level","Assets: Securities Held Outright: Mortgage-backed securities: change in Wednesday level from year ago level","Assets: Unamortized premiums on securities held outright: Wednesday level","Assets: Unamortized premiums on securities held outright: change in Wednesday level from previous Wednesday level","Assets: Unamortized premiums on securities held outright: change in Wednesday level from year ago level","Assets: Unamortized discounts on securities held outright: Wednesday level","Assets: Unamortized discounts on securities held outright: change in Wednesday level from previous Wednesday level","Assets: Unamortized discounts on securities held outright: change in Wednesday level from year ago level","Assets: Other: Repurchase agreements: Wednesday level","Assets: Other: Repurchase agreements: change in Wednesday level from previous Wednesday level","Assets: Other: Repurchase agreements: change in Wednesday level from year ago level","Assets: Liquidity and Credit Facilities: Loans: Wednesday level","Assets: Liquidity and Credit Facilities: Loans: change in Wednesday level from previous Wednesday level","Assets: Liquidity and Credit Facilities: Loans: change in Wednesday level from year ago level","Assets: Net Portfolio Holdings of Maiden Lane LLCs: Net portfolio holdings of Maiden Lane LLC: Wednesday level","Assets: Net Portfolio Holdings of Maiden Lane LLCs: Net portfolio holdings of Maiden Lane LLC: change in Wednesday level from previous Wednesday level","Assets: Net Portfolio Holdings of Maiden Lane LLCs: Net portfolio holdings of Maiden Lane LLC: change in Wednesday level from year ago level","Assets: Other: Items in process of collection, Eliminations from consolidation: Wednesday level","Assets: Other: Items in process of collection (Less eliminations from consolidation): Wednesday level","Assets: Other: Items in process of collection (Less eliminations from consolidation): change in Wednesday level from previous Wednesday level","Assets: Other: Items in process of collection (Less eliminations from consolidation): change in Wednesday level from year ago level","Assets: Other: Bank premises: Wednesday level","Assets: Other: Bank premises: change in Wednesday level from previous Wednesday level","Assets: Other: Bank premises: change in Wednesday level from year ago level","Assets: Central Bank Liquidity Swaps: Central bank liquidity swaps: Wednesday level","Assets: Central Bank Liquidity Swaps: Central bank liquidity swaps: change in Wednesday level from previous Wednesday level","Assets: Central Bank Liquidity Swaps: Central bank liquidity swaps: change in Wednesday level from year ago level","Assets: Other: Other assets: Wednesday level","Assets: Other: Other assets: change in Wednesday level from previous Wednesday level","Assets: Other: Other assets: change in Wednesday level from year ago level","Assets: Other Factors Supplying Reserve Balances: Foreign currency denominated assets: Wednesday level","Assets: Other Factors Supplying Reserve Balances: Foreign currency denominated assets: change in Wednesday level from previous Wednesday level","Assets: Other Factors Supplying Reserve Balances: Foreign currency denominated assets: change in Wednesday level from year ago level","Assets: Total Assets: Total assets, Eliminations from consolidation: Wednesday level","Assets: Total Assets: Total assets (Less eliminations from consolidation): Wednesday level","Assets: Total Assets: Total assets (Less eliminations from consolidation): change in Wednesday level from previous Wednesday level","Assets: Total Assets: Total assets (Less eliminations from consolidation): change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Federal Reserve notes, net of F.R. Bank holdings: Wednesday level","Liabilities and Capital: Liabilities: Federal Reserve notes, net of F.R. Bank holdings: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Federal Reserve notes, net of F.R. Bank holdings: change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Reverse repurchase agreements: Wednesday level","Liabilities and Capital: Liabilities: Reverse repurchase agreements: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Reverse repurchase agreements: change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Deposits, Eliminations from consolidation: Wednesday level","Liabilities and Capital: Liabilities: Deposits (Less eliminations from consolidation): Wednesday level","Liabilities and Capital: Liabilities: Deposits (Less eliminations from consolidation): change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Deposits (Less eliminations from consolidation): change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: Term deposits held by depository institutions: Wednesday level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: Term deposits held by depository institutions: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: Term deposits held by depository institutions: change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Deposits: Other deposits held by depository institutions: Wednesday level","Liabilities and Capital: Liabilities: Deposits: Other deposits held by depository institutions: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Deposits: Other deposits held by depository institutions: change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: U.S. Treasury, General Account: Wednesday level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: U.S. Treasury, General Account: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: U.S. Treasury, General Account: change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: Foreign official: Wednesday level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: Foreign official: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks, other than reserve balances: Foreign official: change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Deposits with F.R. Banks: Other, Eliminations from consolidation: Wednesday level","Liabilities and Capital: Liabilities: Deposits: Other: Wednesday level","Liabilities and Capital: Liabilities: Deposits: Other: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Deposits: Other: change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Deferred availability cash items, Eliminations from consolidation: Wednesday level","Liabilities and Capital: Liabilities: Deferred availability cash items (Less eliminations from consolidation): Wednesday level","Liabilities and Capital: Liabilities: Deferred availability cash items (Less eliminations from consolidation): change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Deferred availability cash items (Less eliminations from consolidation): change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Other liabilities and accrued dividends (Includes the liability for earnings remittances due to the U.S. Treasury): Wednesday level","Liabilities and Capital: Liabilities: Other liabilities and accrued dividends (Includes the liability for earnings remittances due to the U.S. Treasury): change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Other liabilities and accrued dividends (Includes the liability for earnings remittances due to the U.S. Treasury): change in Wednesday level from year ago level","Liabilities and Capital: Liabilities: Total liabilities, Eliminations from consolidation: Wednesday level","Liabilities and Capital: Liabilities: Total liabilities (Less eliminations from consolidation): Wednesday level","Liabilities and Capital: Liabilities: Total liabilities (Less eliminations from consolidation): change in Wednesday level from previous Wednesday level","Liabilities and Capital: Liabilities: Total liabilities (Less eliminations from consolidation): change in Wednesday level from year ago level","Liabilities and Capital: Capital: Capital paid in: Wednesday level","Liabilities and Capital: Capital: Capital paid in: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Capital: Capital paid in: change in Wednesday level from year ago level","Liabilities and Capital: Capital: Surplus: Wednesday level","Liabilities and Capital: Capital: Surplus: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Capital: Surplus: change in Wednesday level from year ago level","Liabilities and Capital: Capital: Other capital accounts: Wednesday level","Liabilities and Capital: Capital: Other capital accounts: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Capital: Other capital accounts: change in Wednesday level from year ago level","Liabilities and Capital: Capital: Total capital: Wednesday level","Liabilities and Capital: Capital: Total capital: change in Wednesday level from previous Wednesday level","Liabilities and Capital: Capital: Total capital: change in Wednesday level from year ago level"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H41/H41/RESPPAG_N.WW","H41/H41/RESPPAG_XCH1_N.WW","H41/H41/RESPPAG_XCH52_N.WW","H41/H41/RESPPAS_N.WW","H41/H41/RESPPAS_XCH1_N.WW","H41/H41/RESPPAS_XCH52_N.WW","H41/H41/RESPPAC_N.WW","H41/H41/RESPPAC_XCH1_N.WW","H41/H41/RESPPAC_XCH52_N.WW","H41/H41/RESPPAL_N.WW","H41/H41/RESPPAL_XCH1_N.WW","H41/H41/RESPPAL_XCH52_N.WW","H41/H41/RESPPALG_N.WW","H41/H41/RESPPALG_XCH1_N.WW","H41/H41/RESPPALG_XCH52_N.WW","H41/H41/RESPPALGUO_N.WW","H41/H41/RESPPALGUO_XCH1_N.WW","H41/H41/RESPPALGUO_XCH52_N.WW","H41/H41/RESPPALGUOB_N.WW","H41/H41/RESPPALGUOB_XCH1_N.WW","H41/H41/RESPPALGUOB_XCH52_N.WW","H41/H41/RESPPALGUOMN_N.WW","H41/H41/RESPPALGUOMN_XCH1_N.WW","H41/H41/RESPPALGUOMN_XCH52_N.WW","H41/H41/RESPPALGUOMI_N.WW","H41/H41/RESPPALGUOMI_XCH1_N.WW","H41/H41/RESPPALGUOMI_XCH52_N.WW","H41/H41/RESPPALGUOMC_N.WW","H41/H41/RESPPALGUOMC_XCH1_N.WW","H41/H41/RESPPALGUOMC_XCH52_N.WW","H41/H41/RESPPALGAO_N.WW","H41/H41/RESPPALGAO_XCH1_N.WW","H41/H41/RESPPALGAO_XCH52_N.WW","H41/H41/RESPPALGASMO_N.WW","H41/H41/RESPPALGASMO_XCH1_N.WW","H41/H41/RESPPALGASMO_XCH52_N.WW","H41/H41/RESPPALSP_N.WW","H41/H41/RESPPALSP_XCH1_N.WW","H41/H41/RESPPALSP_XCH52_N.WW","H41/H41/RESPPALSD_N.WW","H41/H41/RESPPALSD_XCH1_N.WW","H41/H41/RESPPALSD_XCH52_N.WW","H41/H41/RESPPALGTR_N.WW","H41/H41/RESPPALGTR_XCH1_N.WW","H41/H41/RESPPALGTR_XCH52_N.WW","H41/H41/RESPPALD_N.WW","H41/H41/RESPPALD_XCH1_N.WW","H41/H41/RESPPALD_XCH52_N.WW","H41/H41/RESPPAAML1H_N.WW","H41/H41/RESPPAAML1H_XCH1_N.WW","H41/H41/RESPPAAML1H_XCH52_N.WW","H41/H41/RESPPMAIX_N.WW","H41/H41/RESPPMAI_N.WW","H41/H41/RESPPMAI_XCH1_N.WW","H41/H41/RESPPMAI_XCH52_N.WW","H41/H41/RESPPAP_N.WW","H41/H41/RESPPAP_XCH1_N.WW","H41/H41/RESPPAP_XCH52_N.WW","H41/H41/RESH4SCS_N.WW","H41/H41/RESH4SCS_XCH1_N.WW","H41/H41/RESH4SCS_XCH52_N.WW","H41/H41/RESPPAO_N.WW","H41/H41/RESPPAO_XCH1_N.WW","H41/H41/RESPPAO_XCH52_N.WW","H41/H41/RESPPAOF_N.WW","H41/H41/RESPPAOF_XCH1_N.WW","H41/H41/RESPPAOF_XCH52_N.WW","H41/H41/RESPPMAX_N.WW","H41/H41/RESPPMA_N.WW","H41/H41/RESPPMA_XCH1_N.WW","H41/H41/RESPPMA_XCH52_N.WW","H41/H41/RESPPLLN_N.WW","H41/H41/RESPPLLN_XCH1_N.WW","H41/H41/RESPPLLN_XCH52_N.WW","H41/H41/RESPPLLR_N.WW","H41/H41/RESPPLLR_XCH1_N.WW","H41/H41/RESPPLLR_XCH52_N.WW","H41/H41/RESPPMLLDX_N.WW","H41/H41/RESPPMLLD_N.WW","H41/H41/RESPPMLLD_XCH1_N.WW","H41/H41/RESPPMLLD_XCH52_N.WW","H41/H41/RESPPLLDA_N.WW","H41/H41/RESPPLLDA_XCH1_N.WW","H41/H41/RESPPLLDA_XCH52_N.WW","H41/H41/RESPPLLDD_N.WW","H41/H41/RESPPLLDD_XCH1_N.WW","H41/H41/RESPPLLDD_XCH52_N.WW","H41/H41/RESPPLLDT_N.WW","H41/H41/RESPPLLDT_XCH1_N.WW","H41/H41/RESPPLLDT_XCH52_N.WW","H41/H41/RESPPLLDF_N.WW","H41/H41/RESPPLLDF_XCH1_N.WW","H41/H41/RESPPLLDF_XCH52_N.WW","H41/H41/RESPPMLLDOX_N.WW","H41/H41/RESPPLLDO_N.WW","H41/H41/RESPPLLDO_XCH1_N.WW","H41/H41/RESPPLLDO_XCH52_N.WW","H41/H41/RESPPMLLCX_N.WW","H41/H41/RESPPMLLC_N.WW","H41/H41/RESPPMLLC_XCH1_N.WW","H41/H41/RESPPMLLC_XCH52_N.WW","H41/H41/RESPPLLO_N.WW","H41/H41/RESPPLLO_XCH1_N.WW","H41/H41/RESPPLLO_XCH52_N.WW","H41/H41/RESPPMLLX_N.WW","H41/H41/RESPPMLL_N.WW","H41/H41/RESPPMLL_XCH1_N.WW","H41/H41/RESPPMLL_XCH52_N.WW","H41/H41/RESPPLCP_N.WW","H41/H41/RESPPLCP_XCH1_N.WW","H41/H41/RESPPLCP_XCH52_N.WW","H41/H41/RESPPLCS_N.WW","H41/H41/RESPPLCS_XCH1_N.WW","H41/H41/RESPPLCS_XCH52_N.WW","H41/H41/RESPPLCU_N.WW","H41/H41/RESPPLCU_XCH1_N.WW","H41/H41/RESPPLCU_XCH52_N.WW","H41/H41/RESPPLC_N.WW","H41/H41/RESPPLC_XCH1_N.WW","H41/H41/RESPPLC_XCH52_N.WW"
"Time Period","RESPPAG_N.WW","RESPPAG_XCH1_N.WW","RESPPAG_XCH52_N.WW","RESPPAS_N.WW","RESPPAS_XCH1_N.WW","RESPPAS_XCH52_N.WW","RESPPAC_N.WW","RESPPAC_XCH1_N.WW","RESPPAC_XCH52_N.WW","RESPPAL_N.WW","RESPPAL_XCH1_N.WW","RESPPAL_XCH52_N.WW","RESPPALG_N.WW","RESPPALG_XCH1_N.WW","RESPPALG_XCH52_N.WW","RESPPALGUO_N.WW","RESPPALGUO_XCH1_N.WW","RESPPALGUO_XCH52_N.WW","RESPPALGUOB_N.WW","RESPPALGUOB_XCH1_N.WW","RESPPALGUOB_XCH52_N.WW","RESPPALGUOMN_N.WW","RESPPALGUOMN_XCH1_N.WW","RESPPALGUOMN_XCH52_N.WW","RESPPALGUOMI_N.WW","RESPPALGUOMI_XCH1_N.WW","RESPPALGUOMI_XCH52_N.WW","RESPPALGUOMC_N.WW","RESPPALGUOMC_XCH1_N.WW","RESPPALGUOMC_XCH52_N.WW","RESPPALGAO_N.WW","RESPPALGAO_XCH1_N.WW","RESPPALGAO_XCH52_N.WW","RESPPALGASMO_N.WW","RESPPALGASMO_XCH1_N.WW","RESPPALGASMO_XCH52_N.WW","RESPPALSP_N.WW","RESPPALSP_XCH1_N.WW","RESPPALSP_XCH52_N.WW","RESPPALSD_N.WW","RESPPALSD_XCH1_N.WW","RESPPALSD_XCH52_N.WW","RESPPALGTR_N.WW","RESPPALGTR_XCH1_N.WW","RESPPALGTR_XCH52_N.WW","RESPPALD_N.WW","RESPPALD_XCH1_N.WW","RESPPALD_XCH52_N.WW","RESPPAAML1H_N.WW","RESPPAAML1H_XCH1_N.WW","RESPPAAML1H_XCH52_N.WW","RESPPMAIX_N.WW","RESPPMAI_N.WW","RESPPMAI_XCH1_N.WW","RESPPMAI_XCH52_N.WW","RESPPAP_N.WW","RESPPAP_XCH1_N.WW","RESPPAP_XCH52_N.WW","RESH4SCS_N.WW","RESH4SCS_XCH1_N.WW","RESH4SCS_XCH52_N.WW","RESPPAO_N.WW","RESPPAO_XCH1_N.WW","RESPPAO_XCH52_N.WW","RESPPAOF_N.WW","RESPPAOF_XCH1_N.WW","RESPPAOF_XCH52_N.WW","RESPPMAX_N.WW","RESPPMA_N.WW","RESPPMA_XCH1_N.WW","RESPPMA_XCH52_N.WW","RESPPLLN_N.WW","RESPPLLN_XCH1_N.WW","RESPPLLN_XCH52_N.WW","RESPPLLR_N.WW","RESPPLLR_XCH1_N.WW","RESPPLLR_XCH52_N.WW","RESPPMLLDX_N.WW","RESPPMLLD_N.WW","RESPPMLLD_XCH1_N.WW","RESPPMLLD_XCH52_N.WW","RESPPLLDA_N.WW","RESPPLLDA_XCH1_N.WW","RESPPLLDA_XCH52_N.WW","RESPPLLDD_N.WW","RESPPLLDD_XCH1_N.WW","RESPPLLDD_XCH52_N.WW","RESPPLLDT_N.WW","RESPPLLDT_XCH1_N.WW","RESPPLLDT_XCH52_N.WW","RESPPLLDF_N.WW","RESPPLLDF_XCH1_N.WW","RESPPLLDF_XCH52_N.WW","RESPPMLLDOX_N.WW","RESPPLLDO_N.WW","RESPPLLDO_XCH1_N.WW","RESPPLLDO_XCH52_N.WW","RESPPMLLCX_N.WW","RESPPMLLC_N.WW","RESPPMLLC_XCH1_N.WW","RESPPMLLC_XCH52_N.WW","RESPPLLO_N.WW","RESPPLLO_XCH1_N.WW","RESPPLLO_XCH52_N.WW","RESPPMLLX_N.WW","RESPPMLL_N.WW","RESPPMLL_XCH1_N.WW","RESPPMLL_XCH52_N.WW","RESPPLCP_N.WW","RESPPLCP_XCH1_N.WW","RESPPLCP_XCH52_N.WW","RESPPLCS_N.WW","RESPPLCS_XCH1_N.WW","RESPPLCS_XCH52_N.WW","RESPPLCU_N.WW","RESPPLCU_XCH1_N.WW","RESPPLCU_XCH52_N.WW","RESPPLC_N.WW","RESPPLC_XCH1_N.WW","RESPPLC_XCH52_N.WW"
2016-02-03,11037,0,0,5200,0,0,1999,28,44,4408021,-529,-16057,4236766,-72,-154,2461269,-72,617,0,0,0,2346639,0,-72,98534,0,65,16097,-71,625,31318,0,-6270,1744179,0,5499,187656,-369,-17715,-16411,26,1816,0,0,0,10,-114,-4,1722,0,36,0,191,-4,81,2230,-8,-23,91,-11,91,33002,1402,-632,20001,267,-395,0,4483495,1146,-16853,1370254,2067,79482,292271,-16834,26621,0,2774384,15126,-106094,0,0,0,2441276,42009,-267535,312633,-25340,155383,5539,306,326,0,14936,-1850,5732,0,198,-268,-378,6881,1052,1221,0,4443989,1144,853,29506,2,900,10000,0,-18606,0,0,0,39506,2,-17706
2016-02-10,11037,0,0,5200,0,0,2006,7,49,4407622,-399,-15289,4236672,-94,609,2461174,-95,684,0,0,0,2346639,0,-72,98534,0,65,16002,-95,692,31318,0,-5559,1744180,1,5484,187319,-337,-17708,-16380,31,1816,0,0,0,11,1,-6,1722,0,36,0,172,-19,-2,2231,1,-22,91,0,91,35741,2739,-643,20458,457,374,0,4486278,2783,-15407,1373926,3672,75819,282372,-9899,33797,0,2783045,8661,-107827,0,0,-188083,2483140,41864,-75073,276161,-36472,145396,5237,-302,24,0,18507,3571,9909,0,458,260,-125,6965,84,645,0,4446766,2777,2309,29512,6,898,10000,0,-18614,0,0,0,39512,6,-17716
2016-02-17,11037,0,0,5200,0,0,1995,-11,64,4420345,12723,-12952,4249169,12497,2937,2461080,-94,752,0,0,0,2346639,0,-72,98534,0,65,15907,-95,759,31318,0,-5559,1756771,12591,7744,187468,149,-17750,-16365,15,1794,0,0,0,73,62,67,1721,-1,35,0,191,19,7,2231,0,-23,98,7,98,20450,-15291,-606,20360,-98,153,0,4483629,-2649,-13222,1382645,8719,78459,298746,16374,1692,0,2755816,-27229,-75018,0,0,-296921,2490021,6881,44120,242350,-33811,169253,5238,1,26,0,18207,-300,8504,0,314,-144,-551,6590,-375,-79,0,4444110,-2656,4502,29519,7,897,10000,0,-18622,0,0,0,39519,7,-17724
2016-02-24,11037,0,0,5200,0,0,1970,-25,72,4424521,4176,761,4253447,4278,16196,2461211,131,1044,0,0,0,2346865,226,154,98534,0,65,15813,-94,826,31318,0,-5559,1760918,4147,20710,187387,-81,-17235,-16333,32,1789,0,0,0,19,-54,11,1722,1,36,0,141,-50,-51,2229,-2,-23,89,-9,86,22451,2001,2005,20436,76,184,0,4489796,6167,3071,1385083,2438,78235,286676,-12070,-19495,0,2771511,15695,-37887,63907,63907,-340243,2426047,-63974,79049,216862,-25488,170148,5238,0,25,0,59457,41250,53134,0,672,358,-95,6321,-269,338,0,4450263,6153,21095,29532,13,753,10000,0,-18779,0,0,0,39532,13,-18025
2016-03-02,11037,0,0,5200,0,0,1938,-32,68,4414615,-9906,-8693,4244299,-9148,7169,2461152,-59,1124,0,0,0,2344518,-2347,-2193,100880,2346,2411,15753,-60,904,31318,0,-5559,1751829,-9089,11604,186743,-644,-17508,-16437,-104,1654,0,0,0,11,-8,-7,1722,0,36,0,184,43,-26,2225,-4,-22,88,-1,88,21335,-1116,-812,20143,-293,267,0,4478485,-11311,-9098,1387972,2889,77549,291425,4749,14257,0,2753010,-18501,-82081,0,-63907,-216067,2496582,70535,-58087,229388,12526,176942,5240,2,28,0,21800,-37657,15103,0,443,-229,-223,6110,-211,-557,0,4438960,-11303,8946,29526,-6,741,10000,0,-18785,0,0,0,39526,-6,-18043
2016-03-09,11037,0,0,5200,0,0,1930,-8,70,4414362,-253,-8544,4244344,45,7307,2461196,44,1288,0,0,0,2344518,0,-2193,100880,0,2411,15797,44,1069,31318,0,-5559,1751830,1,11578,186413,-330,-17508,-16406,31,1655,0,0,0,12,1,3,1722,0,30,0,147,-37,-55,2225,0,-23,95,7,93,24055,2720,-850,20310,167,1084,0,4481083,2598,-8196,1391874,3902,80201,283433,-7992,18134,0,2759021,6011,-88709,0,0,-107229,2533225,36643,-159468,196297,-33091,169060,5171,-69,-65,0,24327,2527,8993,0,388,-55,-408,6833,723,630,0,4441548,2588,9846,29535,9,747,10000,0,-18788,0,0,0,39535,9,-18042
2016-03-16,11037,0,0,5200,0,0,1917,-13,69,4418619,4257,-9724,4248579,4235,6001,2461239,43,1452,0,0,0,2344518,0,-2192,100880,0,2411,15841,44,1233,29257,-2061,-7620,1758082,6252,12168,186371,-42,-17407,-16367,39,1656,0,0,0,37,25,27,1722,0,30,0,150,3,-202,2227,2,-21,76,-19,74,25064,1009,-765,20323,13,986,0,4486333,5250,-9555,1393955,2081,82110,289888,6455,273,0,2755993,-3028,-73085,0,0,0,2455522,-77703,-270797,279081,82784,191521,5175,4,-47,0,16215,-8112,6237,0,345,-43,-343,6606,-227,-470,0,4446787,5239,8484,29546,11,754,10000,0,-18792,0,0,0,39546,11,-18039
2016-03-23,11037,0,0,5200,0,0,1896,-21,57,4423381,4762,9964,4253473,4894,25021,2461283,44,1617,0,0,0,2344518,0,-2192,100880,0,2411,15884,43,1397,29257,0,-7620,1762933,4851,31024,186225,-146,-16710,-16335,32,1649,0,0,0,18,-19,3,1722,0,30,0,148,-2,-34,2227,0,-21,53,-23,50,26686,1622,1512,20508,185,696,0,4492857,6524,12254,1395796,1841,82882,307555,17667,28708,0,2742498,-13495,-81338,0,0,0,2431826,-23696,-305976,277707,-1374,206382,5173,-2,-52,0,27793,11578,18309,0,397,52,-348,6623,17,-25,0,4452869,6082,29880,29988,442,1181,10000,0,-18807,0,0,0,39988,442,-17626
